0, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.005, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.01, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.015, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.02, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.025, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.03, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.035, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.04, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.045, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.05, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.055, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.06, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.065, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.07, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.075, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.08, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.085, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.09, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.095, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.1, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.105, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.11, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.115, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.12, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.125, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.13, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.135, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.14, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.145, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.15, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.155, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.16, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.165, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.17, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.175, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.18, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
0.185, 1, 0, 0, 0, 1, 0, 0, 0, 1; 
